[2025-07-29 14:59:41,787: INFO/MainProcess] Scheduler: Sending due task send-parking-reminders (main.send_parking_reminders)
[2025-07-29 14:59:41,789: INFO/MainProcess] Scheduler: Sending due task monthly-mail-report-test (main.generate_monthly_activity_report)
[2025-07-29 14:59:41,798: INFO/MainProcess] Scheduler: Sending due task cleanup-expired-reservations (main.cleanup_expired_reservations)
[2025-07-29 14:59:41,805: INFO/MainProcess] Scheduler: Sending due task daily-mail-reminder-test (main.send_daily_reminders)
[2025-07-29 14:59:41,809: INFO/MainProcess] Scheduler: Sending due task daily-test-reminder (main.send_test_daily_reminders)
[2025-07-29 14:59:51,822: INFO/MainProcess] Scheduler: Sending due task optimize-parking-allocation (main.optimize_parking_allocation)
[2025-07-29 14:59:51,834: INFO/MainProcess] Scheduler: Sending due task generate-daily-report (main.generate_daily_report)
[2025-07-29 14:59:51,841: INFO/MainProcess] Scheduler: Sending due task send-parking-reminders (main.send_parking_reminders)
[2025-07-29 14:59:51,847: INFO/MainProcess] Scheduler: Sending due task monthly-mail-report-test (main.generate_monthly_activity_report)
[2025-07-29 14:59:51,852: INFO/MainProcess] Scheduler: Sending due task cleanup-expired-reservations (main.cleanup_expired_reservations)
[2025-07-29 14:59:51,861: INFO/MainProcess] Scheduler: Sending due task daily-mail-reminder-test (main.send_daily_reminders)
[2025-07-29 14:59:51,864: INFO/MainProcess] Scheduler: Sending due task daily-test-reminder (main.send_test_daily_reminders)
[2025-07-29 15:00:13,259: INFO/MainProcess] beat: Starting...
[2025-07-29 15:05:23,551: INFO/MainProcess] beat: Starting...
[2025-07-29 15:05:23,606: INFO/MainProcess] Scheduler: Sending due task optimize-parking-allocation (main.optimize_parking_allocation)
[2025-07-29 15:05:23,628: INFO/MainProcess] Scheduler: Sending due task generate-daily-report (main.generate_daily_report)
[2025-07-29 15:05:23,631: INFO/MainProcess] Scheduler: Sending due task send-parking-reminders (main.send_parking_reminders)
[2025-07-29 15:05:23,634: INFO/MainProcess] Scheduler: Sending due task monthly-mail-report-test (main.generate_monthly_activity_report)
[2025-07-29 15:05:23,638: INFO/MainProcess] Scheduler: Sending due task cleanup-expired-reservations (main.cleanup_expired_reservations)
[2025-07-29 15:05:23,641: INFO/MainProcess] Scheduler: Sending due task daily-mail-reminder-test (main.send_daily_reminders)
[2025-07-29 15:05:23,644: INFO/MainProcess] Scheduler: Sending due task daily-test-reminder (main.send_test_daily_reminders)
[2025-07-29 15:05:43,691: INFO/MainProcess] Scheduler: Sending due task optimize-parking-allocation (main.optimize_parking_allocation)
[2025-07-29 15:05:43,693: INFO/MainProcess] Scheduler: Sending due task generate-daily-report (main.generate_daily_report)
